person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,OTHER_DEBT,TIME_WITH_BANK,LOAN_PERIOD in days,,
23,215000,MORTGAGE,7,MEDICAL,C,35000,14.79,0,0.16,Y,3,43062.92131,6,430,,
26,215000,MORTGAGE,11,EDUCATION,A,12000,7.88,0,0.06,N,2,65237.82809,2,652,,
23,52000,RENT,1,PERSONAL,C,25000,13.22,1,0.48,N,2,9525.336444,3,952,,
26,46000,RENT,2,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,27717.62277,1,277,,
22,53000,RENT,5,EDUCATION,C,25000,13.43,1,0.47,Y,4,27175.79717,3,271,,
26,47000,RENT,0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,77652.36774,3,776,,
23,47000,RENT,1,VENTURE,E,25000,17.93,1,0.53,N,2,98447.40349,9,984,,
23,13200,MORTGAGE,2,EDUCATION,B,1400,9.25,0,0.11,N,4,25762.87979,2,257,,
21,13200,OWN,0,VENTURE,C,4500,12.98,1,0.34,N,4,94511.01673,4,945,,
22,210000,MORTGAGE,6,VENTURE,B,16000,10.62,0,0.08,N,4,63214.16067,3,632,,
26,210000,OWN,10,PERSONAL,B,22000,11.83,0,0.1,N,4,59684.02568,3,596,,
26,48000,RENT,5,VENTURE,F,25000,18.43,1,0.52,N,2,24580.57932,7,245,,
22,54996,RENT,6,EDUCATION,B,25000,,1,0.45,N,4,72250.01389,1,722,,
24,55000,RENT,4,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4,17868.97132,9,178,,
23,55000,RENT,4,EDUCATION,B,25000,11.36,1,0.45,N,3,6275.906407,7,627,,
23,55000,RENT,4,EDUCATION,D,25000,15.65,1,0.45,Y,3,43421.21635,4,434,,
24,55164,RENT,8,PERSONAL,C,25000,13.22,1,0.45,Y,4,30343.15524,4,303,,
26,56000,RENT,4,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,45139.96213,6,451,,
24,203500,OWN,8,MEDICAL,C,20000,13.04,0,0.1,N,3,57532.34496,6,575,,
23,190000,MORTGAGE,5,EDUCATION,F,22000,17.58,1,0.12,Y,3,74222.00473,1,742,,
23,13920,OWN,2,PERSONAL,E,7750,17.04,1,0.56,N,4,67026.49839,2,670,,
24,60000,RENT,0,PERSONAL,B,25000,10.99,1,0.42,N,3,8759.448848,2,875,,
24,60000,RENT,2,PERSONAL,B,25000,11.11,1,0.42,N,3,911.3127694,4,911,,
26,54000,RENT,7,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,6457.587732,2,645,,
23,14000,OWN,2,DEBTCONSOLIDATION,D,4000,,1,0.29,N,3,88886.67905,6,888,,
24,200000,RENT,8,MEDICAL,B,12000,12.69,0,0.06,N,2,5322.434707,2,532,,
24,200000,MORTGAGE,8,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,96788.45686,2,967,,
21,200000,MORTGAGE,5,EDUCATION,C,16000,14.65,0,0.08,N,4,11300.46838,6,113,,
25,54000,RENT,3,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,75449.003,2,754,,
23,60000,RENT,3,PERSONAL,C,25000,12.73,1,0.42,N,3,35186.501,6,351,,
23,60000,RENT,7,PERSONAL,B,25000,10.25,1,0.42,N,4,28579.11701,4,285,,
21,60000,RENT,6,EDUCATION,B,25000,10.99,1,0.42,N,4,26387.43366,9,263,,
25,61959,RENT,9,MEDICAL,C,25000,12.73,1,0.4,N,2,87422.05855,6,874,,
22,56400,RENT,2,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,82304.72236,9,823,,
23,200000,MORTGAGE,7,EDUCATION,A,28000,,0,0.14,N,2,91678.48941,4,916,,
21,200000,MORTGAGE,2,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,6827.143919,1,682,,
24,200000,MORTGAGE,3,VENTURE,A,24000,7.49,0,0.12,N,4,95753.27485,6,957,,
26,200000,MORTGAGE,4,EDUCATION,C,15000,14.79,0,0.07,N,3,5305.409359,6,530,,
25,200000,MORTGAGE,2,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,55971.48009,3,559,,
24,200000,RENT,8,EDUCATION,A,10000,8.49,0,0.05,N,4,94816.67092,9,948,,
24,66000,RENT,3,EDUCATION,B,25000,9.91,1,0.38,N,2,91474.80655,7,914,,
22,66000,RENT,6,EDUCATION,C,25000,13.06,1,0.38,Y,3,64117.78044,1,641,,
22,200000,MORTGAGE,6,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,74144.45886,9,741,,
144,200000,MORTGAGE,4,EDUCATION,B,6000,11.86,0,0.03,N,2,83597.62227,1,835,,
25,200000,RENT,5,EDUCATION,D,18000,16.32,0,0.09,N,3,76865.22507,7,768,,
25,200000,MORTGAGE,2,VENTURE,B,12000,10.38,0,0.06,N,2,11549.42176,3,115,,
25,200000,MORTGAGE,9,PERSONAL,C,23050,14.35,0,0.12,N,3,61313.24328,6,613,,
24,200000,MORTGAGE,8,DEBTCONSOLIDATION,B,20000,,0,0.1,N,3,6033.830026,7,603,,
24,60000,RENT,2,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2,79651.53014,1,796,,
21,14400,OWN,0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4,17269.37257,1,172,,
26,66996,RENT,10,PERSONAL,D,25000,15.21,1,0.37,Y,2,2655.26084,7,265,,
23,67000,RENT,3,EDUCATION,A,25000,7.9,1,0.37,N,4,23597.07864,5,235,,
24,67000,RENT,2,VENTURE,B,25000,10.99,1,0.37,N,3,2287.503658,2,228,,
24,68000,RENT,5,PERSONAL,D,25000,14.09,1,0.37,Y,3,74519.43689,8,745,,
25,69000,RENT,9,PERSONAL,D,25000,17.49,1,0.36,N,2,52782.93703,7,527,,
25,200000,MORTGAGE,0,EDUCATION,B,12000,11.48,0,0.06,N,3,26054.07385,7,260,,
26,188000,MORTGAGE,10,VENTURE,E,20000,17.74,1,0.11,N,2,96740.87595,5,967,,
26,200000,MORTGAGE,4,PERSONAL,C,3000,13.92,0,0.01,N,3,63406.10761,9,634,,
25,69996,RENT,9,EDUCATION,D,25000,15.21,1,0.36,N,3,681.9479973,7,681,,
22,14400,OWN,2,MEDICAL,B,4000,10.99,1,0.28,N,3,93938.282,3,939,,
24,70000,RENT,3,EDUCATION,B,25000,11.86,1,0.36,N,4,71559.44821,5,715,,
24,14400,OWN,5,PERSONAL,A,6000,7.49,1,0.42,N,3,4162.527916,7,416,,
24,56100,RENT,7,MEDICAL,D,25000,16.49,1,0.38,N,4,51529.04004,3,515,,
25,66000,RENT,9,VENTURE,D,25000,15.33,1,0.38,Y,2,66813.77579,6,668,,
26,66000,RENT,3,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,27198.57376,3,271,,
25,14400,OWN,7,EDUCATION,A,5375,5.79,1,0.37,N,2,10328.74506,3,103,,
25,72612,RENT,9,MEDICAL,C,25000,13.11,1,0.34,N,2,9871.55362,5,987,,
23,74000,RENT,3,MEDICAL,B,25000,10.36,1,0.34,N,3,94558.36047,6,945,,
25,75000,RENT,9,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,67103.75509,4,671,,
24,192000,RENT,0,MEDICAL,C,22000,,0,0.11,Y,2,36953.83261,5,369,,
21,192000,MORTGAGE,123,VENTURE,A,20000,6.54,0,0.1,N,4,20247.79169,4,202,,
25,191000,MORTGAGE,1,MEDICAL,B,10000,12.53,0,0.05,N,4,79413.53722,1,794,,
26,190300,MORTGAGE,5,PERSONAL,A,15000,,0,0.08,N,3,69172.79369,6,691,,
22,190000,MORTGAGE,3,VENTURE,C,10000,,0,0.05,N,3,26814.4232,5,268,,
24,75000,RENT,4,EDUCATION,B,25000,10.25,1,0.33,N,4,11879.00848,1,118,,
22,71000,RENT,1,EDUCATION,D,25000,15.95,1,0.35,Y,4,62158.11033,1,621,,
26,190000,MORTGAGE,3,VENTURE,B,20000,12.18,0,0.11,N,4,68005.29764,3,680,,
23,189996,OWN,0,PERSONAL,B,24000,11.83,0,0.13,N,3,45587.73398,5,455,,
23,78000,RENT,7,DEBTCONSOLIDATION,C,25000,,1,0.32,Y,2,17462.34127,2,174,,
23,78000,RENT,1,VENTURE,B,25000,10.62,1,0.32,N,3,86016.97005,7,860,,
23,78504,RENT,7,VENTURE,B,25000,10.74,1,0.32,N,3,16580.48302,1,165,,
25,186000,OWN,9,VENTURE,B,10000,10.25,0,0.05,N,4,90914.74546,1,909,,
24,185000,MORTGAGE,,EDUCATION,B,35000,12.42,0,0.19,N,2,94360.61853,6,943,,
25,185000,RENT,6,VENTURE,C,15000,15.27,0,0.08,N,2,81292.17711,8,812,,
24,62050,RENT,8,MEDICAL,D,25000,15.33,1,0.34,Y,2,90585.575,1,905,,
23,79416,RENT,7,VENTURE,D,25000,15.21,1,0.31,Y,2,52005.11501,9,520,,
21,14400,OWN,4,VENTURE,C,6250,14.72,1,0.43,N,2,63022.33206,3,630,,
24,79631,RENT,8,PERSONAL,D,25000,15.7,1,0.31,Y,2,3164.036106,2,316,,
24,79632,RENT,0,EDUCATION,C,25000,13.35,1,0.31,N,4,70804.26016,6,708,,
21,14400,MORTGAGE,0,MEDICAL,C,1500,,0,0.1,N,4,52122.82774,8,521,,
24,80000,RENT,6,EDUCATION,A,25000,6.62,1,0.31,N,2,20376.74737,7,203,,
26,80000,RENT,5,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,71026.40966,9,710,,
22,185000,RENT,4,MEDICAL,B,25000,11.36,0,0.14,N,2,20559.91098,4,205,,
26,185000,OWN,10,PERSONAL,A,5000,7.68,0,0.03,N,2,21337.73383,9,213,,
24,184992,RENT,7,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,89900.44161,5,899,,
23,184000,OWN,5,EDUCATION,B,2500,11.83,0,0.01,N,2,9252.672672,2,925,,
24,172000,MORTGAGE,6,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,53902.65081,9,539,,
24,183000,MORTGAGE,2,MEDICAL,B,20000,11.49,0,0.11,N,3,57632.6721,9,576,,
22,183000,MORTGAGE,3,EDUCATION,A,1000,,0,0.01,N,2,22336.70992,2,223,,
25,182952,MORTGAGE,9,PERSONAL,A,15000,6.03,0,0.08,N,3,79760.39829,9,797,,
23,74004,RENT,7,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,26135.20299,9,261,,
26,74004,RENT,10,DEBTCONSOLIDATION,D,25000,,1,0.34,Y,4,83364.19307,1,833,,
25,81000,RENT,5,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,65530.38956,3,655,,
23,81600,RENT,1,MEDICAL,B,25000,11.36,1,0.31,N,3,21836.36999,6,218,,
24,82000,RENT,8,VENTURE,B,25000,10.25,0,0.3,N,2,40242.2306,3,402,,
24,83000,RENT,5,EDUCATION,B,25000,11.12,0,0.3,N,3,66490.47216,7,664,,
24,83000,RENT,5,PERSONAL,D,25000,12.92,0,0.3,Y,3,55703.80548,8,557,,
24,180000,RENT,8,EDUCATION,E,18000,18.64,0,0.1,Y,4,33332.35304,7,333,,
23,180000,MORTGAGE,8,PERSONAL,A,28000,7.51,0,0.16,N,3,36672.38385,9,366,,
23,14400,OWN,2,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,74219.06532,6,742,,
22,14400,OWN,0,PERSONAL,B,2100,11.14,0,0.15,N,4,23583.92347,1,235,,
22,84500,RENT,6,PERSONAL,F,25000,18.3,0,0.3,N,4,19370.40421,9,193,,
24,85000,RENT,5,MEDICAL,B,25000,10.62,0,0.29,N,4,61461.24601,4,614,,
24,180000,MORTGAGE,7,VENTURE,B,14000,11.99,0,0.08,N,2,32516.37925,9,325,,
26,180000,MORTGAGE,2,VENTURE,B,12000,9.63,0,0.07,N,4,10217.13642,4,102,,
25,142800,MORTGAGE,9,MEDICAL,F,10000,18.25,1,0.06,N,4,82400.37992,7,824,,
23,14664,MORTGAGE,0,DEBTCONSOLIDATION,C,6000,,1,0.41,N,4,75786.52564,4,757,,
24,87000,RENT,8,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,64457.13925,3,644,,
24,75000,RENT,0,VENTURE,E,25000,14.7,1,0.33,Y,3,35398.00763,3,353,,
23,76000,RENT,7,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,73163.02919,3,731,,
23,66215,RENT,1,MEDICAL,D,25000,15.37,1,0.32,Y,2,48868.24028,1,488,,
25,90000,RENT,9,MEDICAL,B,25000,10.99,0,0.28,N,4,34042.28693,7,340,,
21,15000,OWN,0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,59194.73391,9,591,,
26,180000,OWN,2,PERSONAL,B,25000,10.99,0,0.14,N,4,34262.93754,4,342,,
24,180000,OWN,8,EDUCATION,B,21000,11.48,0,0.12,N,3,76254.33007,2,762,,
25,180000,OWN,9,MEDICAL,C,20000,14.26,0,0.11,Y,4,45389.16945,4,453,,
26,180000,OWN,0,HOMEIMPROVEMENT,A,10000,8,0,0.06,N,4,90776.89367,4,907,,
